age,type_of_travel,online_boarding,checkin_service,on-board_service,baggage_handling,inflight_service,leg_room_service,cleanliness,seat_comfort,inflight_wifi_service,arrival_delay_in_minutes,departure_delay_in_minutes,satisfaction
43,Business travel,5,5,5,5,5,5,3,4,2,0,0,satisfied
29,Business travel,5,3,5,1,2,2,5,5,5,55,18,satisfied
35,Business travel,5,5,2,2,2,2,4,5,4,0,0,satisfied
52,Business travel,3,4,5,5,5,5,3,3,4,77,93,satisfied
38,Business travel,4,5,5,5,5,5,5,4,3,23,0,satisfied
38,Business travel,1,5,4,4,4,4,5,3,5,0,0,satisfied
38,Business travel,1,3,5,5,5,5,3,3,1,0,3,neutral or dissatisfied
39,Business travel,4,4,4,4,4,4,4,4,5,86,80,satisfied
55,Business travel,2,1,1,1,1,1,4,2,1,5,12,neutral or dissatisfied
25,Business travel,3,3,4,5,5,4,5,5,3,2,0,neutral or dissatisfied
59,Business travel,3,1,4,4,4,4,3,4,4,5,0,neutral or dissatisfied
26,Business travel,0,5,4,4,4,2,3,1,0,91,96,satisfied
51,Business travel,4,5,4,4,4,3,3,5,5,0,0,satisfied
40,Business travel,3,4,5,5,5,5,5,4,2,0,0,satisfied
56,Business travel,4,3,3,3,3,3,1,4,3,0,0,neutral or dissatisfied
46,Business travel,5,3,5,5,5,5,5,4,3,0,0,satisfied
41,Business travel,3,1,2,4,2,2,2,3,4,100,95,neutral or dissatisfied
36,Business travel,4,1,4,4,4,4,1,3,3,0,0,satisfied
26,Business travel,5,3,4,2,3,4,5,5,1,0,0,satisfied
31,Business travel,2,3,5,3,1,3,2,2,5,0,0,satisfied
39,Business travel,5,3,2,2,2,2,4,4,5,0,7,satisfied
60,Business travel,5,3,5,5,5,5,5,4,2,36,35,satisfied
44,Business travel,5,3,4,4,4,4,4,4,2,1,15,satisfied
41,Business travel,3,3,3,3,3,3,4,4,3,70,60,neutral or dissatisfied
44,Business travel,2,4,2,1,2,2,2,2,1,92,44,neutral or dissatisfied
44,Business travel,5,4,4,4,4,5,4,4,5,0,0,satisfied
26,Business travel,4,4,3,4,5,2,5,5,4,14,16,neutral or dissatisfied
48,Business travel,5,5,5,5,5,5,5,4,2,0,0,satisfied
30,Business travel,4,3,3,4,5,3,4,4,4,67,74,satisfied
46,Business travel,5,3,5,5,5,5,3,4,1,0,1,satisfied
39,Business travel,5,5,5,5,5,5,3,4,5,0,0,satisfied
24,Business travel,4,4,3,5,4,2,4,4,5,0,0,satisfied
37,Business travel,5,5,4,4,4,4,5,5,5,163,172,satisfied
37,Business travel,3,1,4,4,4,3,3,4,4,8,0,neutral or dissatisfied
57,Business travel,5,4,5,5,5,5,5,4,1,0,0,satisfied
24,Business travel,4,3,3,5,5,5,4,4,5,0,0,satisfied
36,Business travel,3,4,4,5,5,2,3,3,3,0,0,neutral or dissatisfied
44,Business travel,5,5,4,4,4,4,3,5,2,0,0,satisfied
49,Business travel,4,2,0,2,0,1,3,4,2,0,0,neutral or dissatisfied
42,Business travel,5,4,4,4,4,4,3,4,4,0,0,satisfied
47,Business travel,3,1,5,5,5,5,3,2,1,0,0,satisfied
45,Business travel,2,3,2,2,2,2,4,2,2,52,63,neutral or dissatisfied
44,Business travel,5,3,4,4,4,4,3,5,4,0,0,satisfied
47,Business travel,2,2,2,2,2,2,2,2,2,21,19,neutral or dissatisfied
57,Business travel,1,4,5,3,5,5,5,1,5,128,91,satisfied
34,Business travel,4,3,3,3,3,3,3,4,4,0,6,satisfied
45,Business travel,4,4,3,3,3,3,5,5,0,21,0,satisfied
33,Business travel,2,4,4,3,4,5,3,5,3,3,0,satisfied
51,Business travel,4,4,4,4,4,4,4,5,5,4,9,satisfied
40,Business travel,5,4,4,4,4,5,3,4,1,3,16,satisfied
38,Business travel,4,4,2,2,2,2,3,4,2,23,7,neutral or dissatisfied
44,Business travel,5,3,5,5,5,5,3,4,5,13,23,satisfied
34,Business travel,5,5,5,5,5,5,1,4,4,0,3,satisfied
69,Business travel,2,3,4,4,4,4,1,2,4,0,0,neutral or dissatisfied
49,Business travel,4,4,4,4,4,4,3,4,4,0,0,satisfied
24,Business travel,5,4,2,4,5,3,5,5,4,8,0,satisfied
43,Business travel,4,4,4,4,4,4,5,4,4,0,2,satisfied
7,Personal Travel,4,4,5,3,2,2,4,4,2,121,143,neutral or dissatisfied
65,Personal Travel,5,5,4,2,4,4,5,4,4,30,48,neutral or dissatisfied
22,Business travel,4,4,5,1,2,1,4,4,2,7,0,satisfied
38,Business travel,5,3,4,5,4,5,2,2,5,0,3,satisfied
42,Business travel,2,2,1,1,1,1,4,3,1,0,0,neutral or dissatisfied
55,Business travel,4,4,4,5,4,4,5,5,4,2,4,satisfied
26,Business travel,1,1,4,3,2,2,3,3,1,3,0,neutral or dissatisfied
43,Business travel,4,1,1,1,1,1,2,4,1,6,19,neutral or dissatisfied
46,Business travel,1,3,4,4,4,4,5,3,2,0,5,satisfied
38,Business travel,5,3,4,4,4,4,3,3,2,0,0,satisfied
52,Business travel,4,4,4,4,4,4,3,4,3,0,1,satisfied
45,Business travel,5,5,3,3,3,3,3,4,1,0,0,satisfied
64,Business travel,5,3,4,4,4,5,3,4,3,0,0,satisfied
57,Business travel,5,4,5,5,5,5,4,5,2,0,2,satisfied
43,Business travel,4,3,4,4,4,3,3,3,4,45,47,neutral or dissatisfied
28,Business travel,4,3,2,5,5,1,5,5,2,51,45,satisfied
23,Business travel,5,4,3,1,3,2,5,5,2,126,101,satisfied
37,Business travel,4,4,3,5,5,4,4,3,4,0,1,satisfied
54,Business travel,5,4,4,4,4,4,5,5,2,0,0,satisfied
40,Business travel,5,5,5,5,5,4,4,5,5,56,9,satisfied
24,Business travel,5,4,5,4,5,3,3,4,5,0,0,satisfied
38,Business travel,4,3,5,5,5,5,5,4,5,0,0,satisfied
42,Business travel,5,3,2,2,2,2,5,4,5,18,18,satisfied
38,Business travel,4,3,4,4,5,3,1,1,4,8,15,neutral or dissatisfied
46,Business travel,3,4,4,4,4,3,3,2,4,45,27,neutral or dissatisfied
46,Business travel,3,3,2,2,2,2,5,4,3,27,26,satisfied
53,Business travel,3,4,2,2,2,2,4,5,3,4,0,satisfied
39,Business travel,5,3,4,4,4,4,3,4,3,0,0,satisfied
41,Business travel,3,3,5,5,5,5,3,5,2,0,0,satisfied
51,Business travel,5,4,5,5,5,5,5,5,2,0,0,satisfied
42,Business travel,2,3,5,5,5,5,3,2,2,0,0,satisfied
51,Business travel,5,5,4,4,4,4,4,4,5,0,0,satisfied
50,Business travel,5,5,4,4,4,5,3,5,5,0,0,satisfied
48,Business travel,5,5,4,4,4,4,4,5,1,0,0,satisfied
50,Business travel,5,4,5,4,5,5,5,4,4,1,0,satisfied
55,Business travel,4,5,5,5,5,5,3,5,2,0,0,satisfied
52,Business travel,4,4,5,5,5,5,3,5,5,0,0,satisfied
43,Business travel,2,3,5,5,5,5,5,1,5,0,0,satisfied
16,Business travel,4,4,5,5,3,5,4,4,5,212,220,satisfied
51,Business travel,4,5,4,4,4,5,3,4,1,0,0,satisfied
35,Business travel,1,1,1,1,1,1,2,2,1,14,18,neutral or dissatisfied
35,Business travel,2,4,4,5,4,5,5,5,2,0,0,neutral or dissatisfied
34,Business travel,4,5,5,5,5,5,4,1,1,0,0,satisfied
51,Business travel,5,4,5,5,5,5,5,5,2,0,9,satisfied
35,Business travel,1,4,5,5,4,3,2,2,2,8,0,neutral or dissatisfied
48,Business travel,5,4,5,5,5,5,3,4,2,27,33,satisfied
37,Business travel,4,4,5,5,4,3,4,4,4,30,0,neutral or dissatisfied
27,Business travel,4,5,5,4,5,3,4,4,2,51,46,satisfied
26,Business travel,5,3,3,4,5,4,5,5,5,0,0,satisfied
58,Business travel,5,5,5,5,3,4,5,5,4,172,170,satisfied
50,Business travel,4,3,3,3,3,3,1,3,3,0,0,neutral or dissatisfied
25,Business travel,0,5,4,5,5,4,5,5,0,0,0,satisfied
41,Business travel,5,4,5,5,5,5,4,5,3,0,0,satisfied
40,Business travel,3,3,1,4,4,1,2,2,3,6,0,neutral or dissatisfied
20,Business travel,2,4,2,3,4,2,1,1,1,12,25,neutral or dissatisfied
43,Business travel,5,5,2,4,5,5,5,5,3,175,173,satisfied
32,Business travel,3,3,5,4,4,2,2,2,3,0,0,neutral or dissatisfied
47,Business travel,5,5,4,4,4,4,3,4,3,0,0,satisfied
23,Business travel,4,3,3,5,5,4,4,4,1,6,0,satisfied
38,Business travel,1,2,4,4,4,4,1,1,3,111,124,satisfied
53,Business travel,5,3,4,4,4,4,3,5,1,0,0,satisfied
52,Business travel,4,5,4,4,4,4,3,5,1,16,7,satisfied
20,Business travel,5,3,3,5,5,5,4,2,5,0,0,satisfied
43,Business travel,5,5,4,5,5,4,5,5,1,0,0,satisfied
40,Business travel,5,4,1,1,1,1,4,5,0,0,0,satisfied
43,Business travel,5,3,4,4,4,4,4,5,4,0,0,satisfied
37,Business travel,3,3,4,1,4,4,3,3,1,61,27,neutral or dissatisfied
61,Business travel,4,3,4,4,4,4,2,4,4,0,0,neutral or dissatisfied
41,Business travel,4,5,2,5,1,5,3,3,4,0,0,satisfied
46,Business travel,4,3,4,4,4,4,3,4,4,0,0,satisfied
28,Business travel,5,4,5,5,5,4,5,5,3,0,0,satisfied
30,Business travel,5,4,1,3,1,3,5,5,5,42,40,satisfied
53,Business travel,5,4,3,3,3,3,3,5,3,0,0,satisfied
46,Business travel,5,4,4,4,4,4,3,4,2,76,94,satisfied
46,Business travel,4,5,4,4,4,4,5,4,4,6,0,satisfied
40,Business travel,4,5,5,4,4,3,2,2,4,0,0,satisfied
24,Business travel,5,4,5,5,4,5,2,2,5,0,0,satisfied
16,Personal Travel,4,4,5,5,4,4,4,4,5,226,243,satisfied
47,Business travel,4,3,4,4,4,4,3,4,4,0,0,satisfied
39,Business travel,5,3,2,2,2,2,4,4,3,0,0,satisfied
35,Business travel,3,4,2,2,2,2,3,3,2,0,0,neutral or dissatisfied
35,Business travel,3,1,2,2,2,2,3,4,2,46,44,neutral or dissatisfied
50,Business travel,4,5,4,4,4,4,5,4,2,0,0,satisfied
45,Business travel,1,2,4,4,4,4,2,2,4,131,128,neutral or dissatisfied
60,Business travel,4,4,5,5,5,5,5,5,4,0,0,satisfied
38,Business travel,3,5,5,5,4,2,4,4,4,4,0,satisfied
26,Business travel,3,4,3,5,5,4,4,1,3,0,0,neutral or dissatisfied
40,Business travel,4,3,5,5,5,5,3,4,3,0,2,satisfied
43,Business travel,4,5,5,5,5,5,3,5,1,10,16,satisfied
50,Business travel,5,4,5,5,5,5,4,5,4,0,0,satisfied
29,Business travel,1,1,2,3,3,1,1,1,1,14,24,neutral or dissatisfied
23,Business travel,4,4,4,5,5,5,2,2,4,1,15,satisfied
65,Business travel,5,5,4,4,4,5,1,1,5,33,11,satisfied
42,Business travel,4,5,5,5,5,5,5,4,2,0,0,satisfied
31,Business travel,5,1,3,3,3,3,5,5,1,4,0,satisfied
56,Business travel,4,3,4,4,4,5,4,5,4,15,7,satisfied
25,Business travel,1,4,4,5,4,5,4,3,2,0,0,neutral or dissatisfied
39,Business travel,1,4,1,4,5,4,4,4,1,0,0,neutral or dissatisfied
21,Business travel,5,4,3,4,4,2,4,4,3,32,17,satisfied
55,Business travel,5,4,5,5,5,5,4,4,1,6,0,satisfied
25,Business travel,4,1,2,2,3,5,5,5,2,0,9,satisfied
69,Business travel,2,4,3,1,3,3,1,2,1,0,0,neutral or dissatisfied
33,Business travel,1,1,4,4,4,1,1,1,1,0,2,neutral or dissatisfied
39,Business travel,2,1,3,3,3,3,4,5,0,5,0,satisfied
39,Business travel,5,5,4,4,4,4,5,5,2,0,10,satisfied
32,Business travel,5,4,3,5,5,2,5,5,0,86,90,satisfied
50,Business travel,4,4,4,4,4,4,4,4,4,0,0,satisfied
57,Business travel,4,3,5,5,5,5,2,4,3,0,0,satisfied
32,Personal Travel,3,4,4,3,4,3,4,5,3,1,8,neutral or dissatisfied
31,Business travel,5,5,4,4,4,5,5,5,1,11,11,satisfied
30,Business travel,2,2,3,3,3,3,2,2,3,0,2,satisfied
30,Business travel,3,4,4,3,3,1,3,3,3,5,0,neutral or dissatisfied
60,Business travel,3,4,1,1,1,1,3,3,1,3,0,neutral or dissatisfied
15,Business travel,0,4,4,4,4,5,5,5,0,0,4,satisfied
50,Business travel,4,3,5,5,5,5,3,4,5,0,0,satisfied
51,Business travel,5,3,4,4,4,4,5,5,5,0,6,satisfied
49,Business travel,4,3,5,5,5,5,5,4,1,0,0,satisfied
56,Business travel,5,4,5,5,5,5,4,5,3,0,0,satisfied
50,Business travel,4,4,2,4,3,3,4,4,4,0,6,satisfied
53,Business travel,3,1,4,4,4,4,2,4,4,0,0,neutral or dissatisfied
41,Business travel,5,3,4,4,4,4,3,5,5,0,0,satisfied
50,Business travel,4,2,2,2,2,2,4,3,2,0,0,neutral or dissatisfied
54,Business travel,5,5,5,5,5,5,4,5,3,19,4,satisfied
59,Business travel,3,4,3,3,3,3,1,3,3,0,0,neutral or dissatisfied
49,Business travel,5,3,4,4,4,4,4,4,2,0,0,satisfied
56,Business travel,3,2,2,2,2,2,1,2,2,33,0,neutral or dissatisfied
